                      A	      TK_WITH      TK_THEN      TK_TYPE        TK_EQ    TK_DOLLAR     TK_COMMA      TK_RNUM        TK_CL       TK_AND TK_PARAMETER       TK_DIV        TK_ID    TK_GLOBAL        TK_GE      TK_LIST        TK_IF    TK_RECORD       TK_NUM        TK_NE        TK_LE       TK_DOT     TK_INPUT      TK_MAIN      TK_CALL      TK_PLUS      TK_ELSE   TK_COMMENT  TK_ASSIGNOP     TK_WRITE     TK_COLON     TK_WHILE      TK_REAL      TK_READ       TK_NOT       TK_SQL    TK_OUTPUT       TK_SQR     TK_ENDIF     TK_MINUS       TK_SEM   TK_FIELDIDTK_PARAMETERS        TK_OP  TK_ENDWHILE       TK_MUL     TK_FUNID       TK_INT    TK_RETURN        TK_GT       TK_END        TK_LT        TK_OR TK_ENDRECORD          eps  TK_RECORDID
              input_par	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            6           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
              logicalOp	           -1           -1           -1           -1            0           -1           -1           -1           81           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           82           -1           -1           -1
              newallvar	           -1           -1           -1           -1           55           -1           -1           55           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           54           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           55           -1
                program	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            1           -1           -1           -1           -1           -1           -1           -1            1           -1
         remaining_list	           -1           -1           -1           -1           16           15           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           16           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           16           -1
                    all	           -1           -1           -1           -1            0           -1           70            0           -1           -1            0           68           -1           -1           -1           -1           -1           69           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0            0           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
                   term	           -1           -1           -1           -1            0           -1           59            0           -1           -1           -1           59           -1           -1           -1           -1           -1           59           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0            0           -1           -1           59           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
                  stmts	           -1           -1           17           -1            0           -1           -1           -1           -1           -1           -1           17           -1           -1           -1           17           17           -1           -1           -1           -1           -1           -1           17           -1           -1           -1           -1           17           -1           17           -1           17           -1           17           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           17           -1            0           -1           -1           -1           17           -1
             returnStmt	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           89           -1            0           -1           -1           -1           -1           -1
            declaration	           -1           -1           27           -1            0           -1           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1            0           -1            0           -1            0           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1
